
 Real: 1, Prediccion: 3, Distancia Euclidiana: 6929.01100327, Algoritmo: EigenFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 5614.35163541, Algoritmo: EigenFace
 Real: 1, Prediccion: 5, Distancia Euclidiana: 9401.70121422, Algoritmo: EigenFace
 Real: 2, Prediccion: -1, Distancia Euclidiana: 1.79769313486e+308, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 3914.59895164, Algoritmo: EigenFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 7696.939372, Algoritmo: EigenFace
 Real: 3, Prediccion: 13, Distancia Euclidiana: 9149.62196487, Algoritmo: EigenFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 7930.47779882, Algoritmo: EigenFace
 Real: 3, Prediccion: 1, Distancia Euclidiana: 6172.58354986, Algoritmo: EigenFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 7484.30918021, Algoritmo: EigenFace
 Real: 4, Prediccion: -1, Distancia Euclidiana: 1.79769313486e+308, Algoritmo: EigenFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 4748.46896941, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 3350.45544672, Algoritmo: EigenFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 3480.89900099, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: EigenFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 2653.68994946, Algoritmo: EigenFace
 Real: 6, Prediccion: 12, Distancia Euclidiana: 7971.28254124, Algoritmo: EigenFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 4931.49664824, Algoritmo: EigenFace
 Real: 7, Prediccion: 13, Distancia Euclidiana: 9032.18935688, Algoritmo: EigenFace
 Real: 7, Prediccion: 1, Distancia Euclidiana: 8954.10001595, Algoritmo: EigenFace
 Real: 8, Prediccion: 2, Distancia Euclidiana: 9388.74614289, Algoritmo: EigenFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 6609.9523237, Algoritmo: EigenFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 7012.58215112, Algoritmo: EigenFace
 Real: 9, Prediccion: 1, Distancia Euclidiana: 8776.1457809, Algoritmo: EigenFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 7860.64402139, Algoritmo: EigenFace
 Real: 9, Prediccion: 15, Distancia Euclidiana: 8419.97352992, Algoritmo: EigenFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 6686.08452206, Algoritmo: EigenFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 2628.73088581, Algoritmo: EigenFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 4286.69603245, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 3886.5462345, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 3886.5462345, Algoritmo: EigenFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 5527.46299459, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 6453.29972895, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 4362.42009344, Algoritmo: EigenFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 6917.1925079, Algoritmo: EigenFace
 Real: 13, Prediccion: 7, Distancia Euclidiana: 4982.4521486, Algoritmo: EigenFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 3455.5186688, Algoritmo: EigenFace
 Real: 13, Prediccion: 13, Distancia Euclidiana: 3391.48483727, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 4653.17675983, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 3026.66088045, Algoritmo: EigenFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 1942.02771294, Algoritmo: EigenFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 6606.28476578, Algoritmo: EigenFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 2090.66555342, Algoritmo: EigenFace
 Real: 15, Prediccion: 3, Distancia Euclidiana: 5397.15712235, Algoritmo: EigenFace
 Prediccion media: 68.8888888889
 Distancia minima: 0.0 Distancia maxima: 1.79769313486e+308 Distancia Media: inf
