
 Real: 1, Prediccion: 1, Distancia Euclidiana: 1239.51550164, Algoritmo: FisherFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 3287.32735286, Algoritmo: FisherFace
 Real: 1, Prediccion: 1, Distancia Euclidiana: 975.285630475, Algoritmo: FisherFace
 Real: 2, Prediccion: 14, Distancia Euclidiana: 3027.73579501, Algoritmo: FisherFace
 Real: 2, Prediccion: 13, Distancia Euclidiana: 2593.63557366, Algoritmo: FisherFace
 Real: 2, Prediccion: 2, Distancia Euclidiana: 1542.17371133, Algoritmo: FisherFace
 Real: 3, Prediccion: 13, Distancia Euclidiana: 3830.08973874, Algoritmo: FisherFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 2595.7578768, Algoritmo: FisherFace
 Real: 3, Prediccion: 3, Distancia Euclidiana: 2673.51972644, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 2988.86652575, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 1110.18993736, Algoritmo: FisherFace
 Real: 5, Prediccion: 10, Distancia Euclidiana: 2601.95183947, Algoritmo: FisherFace
 Real: 5, Prediccion: 5, Distancia Euclidiana: 1845.96937991, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 1126.26088432, Algoritmo: FisherFace
 Real: 6, Prediccion: 6, Distancia Euclidiana: 1481.99820375, Algoritmo: FisherFace
 Real: 7, Prediccion: 13, Distancia Euclidiana: 3548.87821752, Algoritmo: FisherFace
 Real: 7, Prediccion: 9, Distancia Euclidiana: 2636.14234304, Algoritmo: FisherFace
 Real: 7, Prediccion: 7, Distancia Euclidiana: 1994.8457403, Algoritmo: FisherFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 1947.07072339, Algoritmo: FisherFace
 Real: 8, Prediccion: 8, Distancia Euclidiana: 1851.56030792, Algoritmo: FisherFace
 Real: 9, Prediccion: 9, Distancia Euclidiana: 2150.04147024, Algoritmo: FisherFace
 Real: 9, Prediccion: 10, Distancia Euclidiana: 2624.77268499, Algoritmo: FisherFace
 Real: 9, Prediccion: 11, Distancia Euclidiana: 4685.28269656, Algoritmo: FisherFace
 Real: 10, Prediccion: 4, Distancia Euclidiana: 4042.06509608, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 680.853969412, Algoritmo: FisherFace
 Real: 10, Prediccion: 10, Distancia Euclidiana: 1259.11781115, Algoritmo: FisherFace
 Real: 11, Prediccion: 10, Distancia Euclidiana: 1938.11876206, Algoritmo: FisherFace
 Real: 11, Prediccion: 11, Distancia Euclidiana: 1224.15060163, Algoritmo: FisherFace
 Real: 11, Prediccion: 10, Distancia Euclidiana: 2362.41158165, Algoritmo: FisherFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 1319.7055099, Algoritmo: FisherFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 1897.16794084, Algoritmo: FisherFace
 Real: 12, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 13, Prediccion: 14, Distancia Euclidiana: 3152.18083256, Algoritmo: FisherFace
 Real: 13, Prediccion: 14, Distancia Euclidiana: 2879.92152881, Algoritmo: FisherFace
 Real: 13, Prediccion: 14, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 14, Prediccion: 6, Distancia Euclidiana: 4665.19328119, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 2607.34418485, Algoritmo: FisherFace
 Real: 14, Prediccion: 14, Distancia Euclidiana: 0.0, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 505.040919181, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 1276.81777785, Algoritmo: FisherFace
 Real: 15, Prediccion: 15, Distancia Euclidiana: 1276.81777785, Algoritmo: FisherFace
 Prediccion media: 66.6666666667
 Distancia minima: 0.0 Distancia maxima: 4685.28269656 Distancia Media: 1898.79509859
