
 Real: 1, Prediccion: 1, Distancia Euclidiana: 31.6292369039, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 33.9606349537, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 27.6398929271, Algoritmo: LBPH
 Real: 2, Prediccion: 9, Distancia Euclidiana: 42.7084314388, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 27.4454673327, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 53.8452847911, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 27.1828637895, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 21.9502459028, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 21.9502459028, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 21.6447181343, Algoritmo: LBPH
 Real: 6, Prediccion: 3, Distancia Euclidiana: 50.0199469809, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 33.3030089025, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 44.9459736653, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 37.4370311927, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 32.6381605471, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 35.8039475908, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 19.0884804327, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 55.5788917609, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 55.5788917609, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 33.3957246449, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 48.8354078133, Algoritmo: LBPH
 Real: 13, Prediccion: 2, Distancia Euclidiana: 48.0272180103, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 31.4661105766, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 26.302215137, Algoritmo: LBPH
 Real: 14, Prediccion: 15, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 21.4086468013, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 29.6617150884, Algoritmo: LBPH
