
 Real: 1, Prediccion: 1, Distancia Euclidiana: 31.6292369039, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 36.377600081, Algoritmo: LBPH
 Real: 1, Prediccion: 1, Distancia Euclidiana: 22.5727214241, Algoritmo: LBPH
 Real: 2, Prediccion: 14, Distancia Euclidiana: 57.5707962847, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 41.082959982, Algoritmo: LBPH
 Real: 2, Prediccion: 2, Distancia Euclidiana: 21.6102192165, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 53.5370935533, Algoritmo: LBPH
 Real: 3, Prediccion: 3, Distancia Euclidiana: 33.6686283657, Algoritmo: LBPH
 Real: 3, Prediccion: 10, Distancia Euclidiana: 47.7943978939, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 36.2947805164, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 4, Prediccion: 4, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 27.5244812123, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 44.8896747362, Algoritmo: LBPH
 Real: 5, Prediccion: 5, Distancia Euclidiana: 26.705892962, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 31.2928689859, Algoritmo: LBPH
 Real: 6, Prediccion: 6, Distancia Euclidiana: 22.0389149075, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 44.9459736653, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 41.9388672989, Algoritmo: LBPH
 Real: 7, Prediccion: 7, Distancia Euclidiana: 27.3797358301, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 31.1608051373, Algoritmo: LBPH
 Real: 8, Prediccion: 8, Distancia Euclidiana: 37.4370311927, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 27.8586313666, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 24.4217675093, Algoritmo: LBPH
 Real: 9, Prediccion: 9, Distancia Euclidiana: 53.7313063663, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 61.452141114, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 16.1895590066, Algoritmo: LBPH
 Real: 10, Prediccion: 10, Distancia Euclidiana: 30.9560552076, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 29.836070149, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 23.4850140445, Algoritmo: LBPH
 Real: 11, Prediccion: 11, Distancia Euclidiana: 32.995635483, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 31.679722549, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 31.3103702819, Algoritmo: LBPH
 Real: 12, Prediccion: 12, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 44.8790635883, Algoritmo: LBPH
 Real: 13, Prediccion: 13, Distancia Euclidiana: 37.5854144764, Algoritmo: LBPH
 Real: 13, Prediccion: 14, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 53.2058257757, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 32.2467579, Algoritmo: LBPH
 Real: 14, Prediccion: 14, Distancia Euclidiana: 0.0, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 19.5986668149, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 21.4086468013, Algoritmo: LBPH
 Real: 15, Prediccion: 15, Distancia Euclidiana: 21.4086468013, Algoritmo: LBPH
 Prediccion media: 93.3333333333
 Distancia minima: 0.0 Distancia maxima: 61.452141114 Distancia Media: 29.1489327863
